Unnamed: 0,rating,reviews,amenities,house_rules,price,country,bathrooms,beds,guests,toilets,bedrooms,studios,checkin_final,checkout_final
10,4.97,77,"Mountain view,Kitchen,Free on-street parking,Central air conditioning,Shared patio or balcony,Hair dryer,Fire pit,쿠잉 115L 레트로 refrigerator,Microwave","Check-in: 3:00 pm - 9:00 pm,Check out: 11:00 am,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events",9052, South Korea,1,1,4,0,1,0,15,11.0
11,4.89,55,"Garden view,Waterfront,Wifi,Free parking on premises,Pets allowed,Dryer,Private patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 1:00 pm - 11:00 pm,Check out: 11:00 am,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",5705, India,1,1,2,0,1,0,13,11.0
12,4.83,116,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private outdoor pool,Air conditioning,Refrigerator,Microwave,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 4:00 pm,Check out: 12:00 pm,Self check-in with building staff,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",14612, Philippines,2,7,8,0,2,0,14,12.0
14,4.71,21,"Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,TV,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 7:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",3763, Turkey,1,1,4,0,1,0,14,12.0
15,5.0,8,"Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi – 49 Mbps,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: After 2:00 pm,Check out: 10:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",22758, Turkey,1,4,6,0,2,0,14,10.0
16,4.9,52,"Garden view,Mountain view,Lake access,Kitchen,Wifi,Dedicated workspace,Free residential garage on premises – 3 spaces,Private outdoor pool – available all year, open 24 hours,Pets allowed,Security cameras on property","Check-in: 2:00 pm - 9:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",11289, Turkey,1,2,4,0,1,0,14,11.0
17,4.75,8,"Courtyard view,Garden view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 8:00 pm,Check out: 12:00 pm,Not suitable for children and infants,No smoking,No pets,No parties or events",7526, Turkey,1,1,2,0,1,0,14,12.0
18,4.76,17,"Mountain view,Resort view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Washing machine,Security cameras on property","Check-in: After 11:00 am,Check out: 11:00 am,Self check-in with lockbox,No pets,󱤇,Smoking is allowed,Show more,Show more,",5018, Turkey,1,6,2,0,2,0,11,11.0
19,4.84,61,"Pets allowed,Private patio or balcony,Garden,Indoor fireplace,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 4:00 pm - 6:00 pm,Check out: 3:00 pm,No smoking,No parties or events,Pets are allowed,Show more,Show more,",2747, Philippines,1,1,3,0,0,0,16,15.0
20,4.79,49,"Garden view,Lake view,Public or shared beach access,Kitchen,Free parking on premises,Bath,Private patio or balcony,Private garden,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 3:00 pm - 8:00 pm,Check out: 1:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",6827, Georgia,1,1,3,0,1,0,15,13.0
21,4.97,38,"Public or shared beach access – Beachfront,Free residential garage on premises,Pets allowed,Air conditioning,Refrigerator,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: 2:00 pm - 7:00 pm,Check out: 11:00 am,Pets are allowed",5529, Philippines,1,1,2,0,1,0,14,11.0
22,4.82,23,"Garden view,Mountain view,Kitchen,Dedicated workspace,Free driveway parking on premises,Pets allowed,TV,Central air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",6924, Turkey,1,4,6,0,2,0,14,12.0
23,5.0,4,"Mountain view,Kitchen,Wifi,Pets allowed,HDTV,Bath,Private backyard – Fully fenced,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 12:00 pm - 2:00 pm,Check out: 10:00 am,No smoking,Pets are allowed,Show more,Show more,",3709, India,1,1,2,0,1,0,12,10.0
24,4.93,15,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Bath,Private patio or balcony,Unavailable: Smoke alarmSmoke alarm",Check-in: After 3:00 pm,12845, Turkey,1,3,6,0,2,0,15,
25,4.96,26,"Lake view,Mountain view,Public or shared beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 2:00 am,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",8128, Turkey,1,1,4,0,1,0,14,12.0
26,4.6,5,"Kitchen,Free residential garage on premises,Private pool,Private hot tub,TV,Air conditioning,Private patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",Not Available,15052, Turkey,2,4,7,0,3,0,,
27,4.824405940594059,2,"Lake view,Garden view,Kitchen,Wifi,Free residential garage on premises,Private pool,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 12:00 am,Check out: 12:00 pm,No pets,󱤇,Smoking is allowed",15604, Turkey,1,1,4,0,1,0,14,12.0
28,5.0,4,"Mountain view,Valley view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private hot tub,Pets allowed,Security cameras on property","Check-in: 2:00 pm - 10:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",7476, Turkey,1,2,4,0,1,0,14,12.0
29,4.87,85,"Beach access – Beachfront,Kitchen,Pets allowed,Patio or balcony,Garden,Refrigerator,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: Flexible,No smoking,Pets are allowed",1372, Philippines,1,1,2,0,1,0,Flexible,
30,5.0,9,"Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub – available all year, open 24 hours,42"" HDTV with Netflix, cable/satellite TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 11:00 am,No pets,󱤇,Smoking is allowed,Show more,Show more,",14771, Turkey,1,2,4,0,1,0,14,11.0
31,4.9,20,"Garden view,Mountain view,Waterfront,Free parking on premises,Pets allowed,Private patio or balcony,Shared garden,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 4:00 pm,Check out: 3:00 pm,Not suitable for infants (under 2 years),Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",8248, Philippines,1,5,7,0,3,0,16,15.0
32,4.64,11,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 4:00 pm - 11:00 pm,Check out: 10:00 am",7319, Turkey,1,1,2,0,1,0,16,10.0
33,5.0,7,"Garden view,Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Private patio or balcony,Security cameras on property","Check-in: After 2:00 pm,Check out: 12:00 pm,Self check-in with lockbox,No smoking,Pets are allowed",4051, Turkey,1,2,3,0,1,0,14,12.0
34,4.75,4,"Bay view,City skyline view,Lake access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed",14551, Turkey,1,0,4,0,1,0,14,11.0
35,5.0,8,"Garden view,Valley view,Kitchen,Wifi – 35 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 10:00 pm,Check out: 11:00 am,No smoking,Pets are allowed",7418, India,1,0,2,0,1,0,14,11.0
36,4.823606557377049,0,"Lake view,Mountain view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: After 3:00 pm,No smoking,Pets are allowed,Show more,Show more,",15975, India,4,3,7,0,3,0,15,
37,4.824405940594059,1,"Mountain view,Garden view,Kitchen,Wifi,Free parking on premises,Pool,Private hot tub,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",14049, Turkey,1,1,4,0,1,0,14,12.0
38,4.824405940594059,0,"Garden view,Mountain view,Lake access,Kitchen,Wifi,Free on-street parking,Pool,HDTV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 11:00 am,No pets,No parties or events,󱤇,Smoking is allowed",17611, Turkey,1,2,5,0,2,0,14,11.0
39,4.68,241,"Resort view,Ocean view,Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pets allowed,32"" TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: 4:00 pm - 12:00 am,Check out: 11:00 am,Self check-in with lockbox,No smoking,No parties or events,Pets are allowed,Show more,Show more,",13010, Japan,1,7,9,0,3,0,16,11.0
40,4.83,41,"Pets allowed,Indoor fireplace,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,No parties or events,Pets are allowed,󱤇,Smoking is allowed",4059, Philippines,1,2,4,0,1,0,14,12.0
41,5.0,10,"Kitchen,Wifi,Free parking on premises,Pets allowed,TV,AC – split-type ductless system,Garden,Indoor fireplace: wood-burning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 9:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",6774, Turkey,1,1,4,0,1,0,14,12.0
42,4.824405940594059,2,"Garden view,Mountain view,Lake access,Kitchen,Wifi,Free parking on premises,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 2:00 am,Check out: 11:00 am,Pets are allowed",10035, Turkey,1,2,3,0,1,0,14,11.0
43,4.68,25,"Garden view,Lake view,Public or shared beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Washing machine,Central air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: 2:00 pm - 11:00 pm,Check out: 11:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",8135, Philippines,1,2,5,0,2,0,14,11.0
44,4.8,61,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Washing machine,Garden,Luggage drop-off allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 11:00 am - 5:00 pm,Check out: 10:00 am,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",1712, India,2,1,2,0,1,0,23,10.0
45,4.68,154,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: After 2:00 pm,Check out: 11:00 am,Self check-in with building staff,No smoking,No pets,No parties or events,Show more,Show more,",8767, Philippines,3,8,10,0,3,0,14,11.0
47,4.824405940594059,1,"Lake access,Kitchen,Wifi,Dedicated workspace,Free on-street parking,Shared outdoor pool,Private hot tub,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 12:00 am,Check out: 11:00 am,No pets,No parties or events,󱤇,Smoking is allowed,Show more,Show more,",22436, Turkey,1,1,2,0,1,0,14,11.0
48,4.82,44,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Free washer – In unit,Patio or balcony,Garden","Check-in: After 2:00 pm,Check out: 11:00 am,Self check-in with lockbox,No smoking,No parties or events,Pets are allowed",6372, Georgia,1,2,4,0,1,0,14,11.0
49,4.824405940594059,1,"Valley view,Garden view,Lake access,Ski-in/ski-out – On a ski run,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Private hot tub – available all year, open 24 hours","Check-in: After 2:00 pm,Check out: 11:00 am,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",19147, Turkey,1,2,4,0,1,0,14,11.0
50,4.69,13,"Mountain view,Valley view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,Self check-in with lockbox,Pets are allowed,󱤇,Smoking is allowed",8028, Turkey,1,6,3,0,0,0,14,12.0
51,4.854142394822007,0,"Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV with standard cable/satellite,Washing machine,Air conditioning,Bath","Check-in: After 4:00 pm,Check out: 11:00 am,Pets are allowed,Show more,Show more,",12590, Japan,1,6,8,0,3,0,16,11.0
52,4.89,19,"Kitchen,Wifi,Free parking on premises,Private hot tub,Pets allowed,AC – split-type ductless system,Patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 1:00 pm,Check out: 12:00 pm,Not suitable for children and infants,Pets are allowed,󱤇,Smoking is allowed",2820, Turkey,1,0,2,0,0,0,13,12.0
53,4.925,0,"City skyline view,Garden view,Kitchen,Wifi,Free parking on premises,HDTV with Chromecast,Air conditioning,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",Not Available,6839, Lebanon,1,4,4,0,2,0,,
54,4.58,58,"Garden view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,32"" TV with Netflix,Free washer – In building,Security cameras on property","Check-in: After 4:00 pm,Check out: 11:00 am,Self check-in with lockbox,No parties or events,Pets are allowed,󱤇,Smoking is allowed",6528, Japan,1,4,8,0,3,0,16,11.0
55,4.87,137,"Wifi,Free parking on premises,Hot tub,TV with standard cable/satellite,Washing machine,Air conditioning,Shared garden,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 3:00 pm,Check out: 11:00 am,Show more,Show more,",9028, Taiwan,1,2,4,0,1,0,15,11.0
56,5.0,3,"Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Free dryer – In unit,Hair dryer,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 1:00 pm - 6:00 pm,Check out: 11:00 am,No smoking,No pets,Show more,Show more,",4265, Turkey,1,2,4,0,1,0,13,11.0
57,5.0,3,"Mountain view,Resort view,Lake access,Wifi – 47 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: Flexible,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",3652, India,1,2,2,0,1,0,Flexible,11.0
58,4.824405940594059,1,"Sea view,Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Shared outdoor pool,TV with standard cable/satellite,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 12:00 am,Check out: 11:00 am,No smoking,No pets,No parties or events,Show more,Show more,",12369, Turkey,1,2,4,0,2,0,14,11.0
59,5.0,3,"Valley view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed",12751, Turkey,1,3,5,0,1,0,14,12.0
60,5.0,7,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 3:00 pm,Check out: 10:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",10684, Turkey,2,2,6,0,2,0,15,10.0
61,4.63,8,"Pets allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",Pets are allowed,2598, Philippines,1,1,3,0,0,0,,
62,4.67,4,"Waterfront,Free parking on premises,Shared pool,Indoor fireplace,Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 12:00 pm,Check out: 12:00 pm,No pets,󱤇,Smoking is allowed",4000, India,3,6,4,0,3,0,12,12.0
63,4.824405940594059,0,"Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 4:00 pm,Check out: 10:00 am",10839, Turkey,2,3,4,0,2,0,16,10.0
64,5.0,8,"Lake view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Pets allowed,Bath,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",6181, Philippines,2,2,5,0,1,0,14,12.0
65,5.0,8,"Free parking on premises,Cot,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 1:00 pm - 7:00 pm,Check out: 11:00 am,Not suitable for infants (under 2 years),No smoking,No pets,No parties or events",8559, India,1,2,2,0,0,0,13,11.0
66,5.0,4,"Garden view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Private outdoor pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 10:00 am - 12:00 pm,Not suitable for infants (under 2 years),Pets are allowed,󱤇,Smoking is allowed,Show more,Show more,",4871, Philippines,1,2,2,0,1,0,22,
67,4.862145748987855,1,"Park view,Resort view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Pets allowed,TV,Washing machine","Check-in: After 2:00 pm,Check out: 12:00 pm,Pets are allowed,󱤇,Smoking is allowed",22758, Georgia,1,2,4,0,2,0,14,12.0
68,4.824405940594059,0,"Mountain view,River view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 12:00 pm - 2:00 pm,Check out: 12:00 pm,No smoking,Pets are allowed",5023, Turkey,1,4,2,0,1,0,12,12.0
69,4.91,33,"Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 3:00 pm,Check out: 11:00 am,Self check-in with lockbox,No smoking,No pets,No parties or events",23852, Israel,1,2,4,0,2,0,15,11.0
70,4.654999999999999,0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 3:00 pm,Self check-in with building staff,No smoking,No pets,No parties or events",8472,Turkey,2,4,6,0,3,0,15,
71,4.836601307189542,1,"Free parking on premises,Pool,Air conditioning,Garden,Luggage drop-off allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 2:00 pm - 6:00 pm,Check out: 12:00 pm,No smoking,No pets,No parties or events,Show more,Show more,",4780, Philippines,0,1,2,0,1,0,14,12.0
73,4.824405940594059,1,"Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 4:00 pm,Check out: 10:00 am,No pets",7846, Turkey,1,1,2,0,1,0,16,10.0
74,5.0,3,"Lake access,Free on-street parking,Pets allowed,Garden,Luggage drop-off allowed,Refrigerator,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 11:00 am,Check out: 10:00 am,Pets are allowed",4183, India,4,2,2,0,2,0,11,10.0
75,5.0,11,"Kitchen,Wifi,Free parking on premises,Pets allowed,TV with standard cable/satellite,EV charger,Washing machine,Dryer,Patio or balcony,Garden","Check-in: After 1:00 pm,Check out: 11:00 am,Pets are allowed,󱤇,Smoking is allowed",1553, Vietnam,1,1,2,0,1,0,13,11.0
76,5.0,12,"Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Not suitable for children and infants,No pets,No parties or events,󱤇,Smoking is allowed",3025, Thailand,1,1,2,0,0,0,,
77,4.824405940594059,0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: 4:00 pm - 12:00 am,Check out: 10:00 am,No smoking,No pets,No parties or events",11189, Turkey,2,3,4,0,2,0,16,10.0
78,4.862145748987855,0,"Kitchen,Dedicated workspace,Free on-street parking,Washing machine,Bath,Private patio or balcony,Luggage drop-off allowed,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm","Check-in: After 3:00 pm,No smoking,No parties or events,Show more,Show more,",2740, Georgia,1,0,5,0,0,0,15,
79,4.824405940594059,0,"Lake view,Mountain view,Wifi,Dedicated workspace,Free parking on premises,HDTV with Netflix,AC – split-type ductless system,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm","Check-in: After 2:00 pm,Check out: 12:00 pm,No smoking,No pets",9689, Turkey,1,1,2,0,1,0,14,12.0
